feature_set,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
lab_texture_leung_malik,KMeans,3,4,0.4349885752934338,0.36408900210322515,0.26268264385834544,0.1414063792934696,0.4616375299741807
xy_texture_leung_malik,KMeans,3,4,0.42521303042816877,0.34414442046219185,0.2612947479239351,0.12488068429509067,0.4624132874202043
xy_rgb_texture,Mean Shift,3,5,0.7250298910167332,0.31694356250627587,0.25876535445299054,0.07897053181963816,0.3284582117531597
xy_rgb_texture_leung_malik,Mean Shift,3,6,0.5264426465349202,0.3127276381599858,0.25565566067770723,0.1382672191885643,0.38686753802169754
hsv_texture_leung_malik,KMeans,3,4,0.4234285584899575,0.36695965568997685,0.2537859899096107,0.1368775620182327,0.4595238400043202
xy_lab_texture_leung_malik,KMeans,3,4,0.4217615910482167,0.339467998046904,0.2528883590606507,0.1294779113314463,0.4509224064278477
xy_lab_texture,Mean Shift,3,5,0.6919737064301967,0.2728990521623801,0.2495113331743141,0.07623678367920597,0.34112020949185773
xy_hsv_texture,Mean Shift,3,5,0.6227726846542766,0.36617501543744685,0.23415341004118734,0.07835663471777803,0.29324670277068143
xy,Mean Shift,9,18,0.4029749837594704,0.35105718237517514,0.22172337809831918,0.11401745190062636,0.4520467702801856
texture_leung_malik,KMeans,3,4,0.337453754946929,0.3614817841932814,0.21572254581150146,0.09217153689859997,0.3837951307170462
texture,Mean Shift,3,6,0.6076831693157185,0.28930457184451686,0.21497729988515846,0.0801218835074618,0.3689059698733223
Texture_only,Mean Shift,1,4,0.6334530525763329,0.24152791394604686,0.21013640980942327,0.14297274092132067,0.3414269649621212
HSV_Texture,Mean Shift,1,4,0.6136155508207904,0.2390514540225221,0.20964762994606534,0.13513720043992847,0.33815202809343436
XY_only,Mean Shift,1,4,0.32841086853986046,0.35214130085103745,0.1939219638824725,0.10822023547118476,0.40571486347853536
xy_texture_dinov2_dinov2_vits14_pca64_max518,KMeans,1,1,0.3344412613922569,0.29996372670008287,0.19192579193023154,0.09512206767132678,0.4407290108224688
xy_texture,Mean Shift,3,6,0.6769699133307195,0.22800879154588582,0.19119424810414817,0.06904196858386925,0.28501795906125454
RGB_HSV_LAB_XY_Texture,Mean Shift,1,4,0.7134936065060116,0.1976920927378803,0.19107540183140864,0.11190102724060283,0.25331686000631315
texture_dinov2_dinov2_vits14_pca64_max518,KMeans,1,1,0.29315752850832627,0.27131098269375475,0.17376490316496182,0.10727805144127214,0.4057227608629478
rgb_texture,Mean Shift,3,5,0.5539631825431195,0.22393783273938506,0.15358378664274477,0.050643156437801914,0.29599055911157246
