method_key,feature_set,method_dir,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
xy_hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,xy_hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.9951165017555059,0.5550669420310497,0.5535590632268603,0.18017563339053194,0.5481765014475295
RGB_Texture | Sampled Mean Shift | Post Processed Img08-gaussian-1.5,RGB_Texture,Sampled Mean Shift,Mean Shift,1,1,0.7135414289754561,0.6351988701773192,0.5520812321799302,0.226993642042035,0.7499013573232324
rgb | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.9728291143157765,0.5596781085315482,0.5510640535708025,0.24876041787786735,0.6682663972383599
xy_lab | KMeans | Postprocessed Img09-segment of 5,xy_lab,KMeans,KMeans,1,1,0.6650224160460402,0.6856487222731165,0.5503890475464114,0.30726769315187763,0.7437361900252525
xy_lab_texture | KMeans | Postprocessed Img10-segment of 5,xy_lab_texture,KMeans,KMeans,1,1,0.9699842022116903,0.5594799074681999,0.5499585325029781,0.10952491673756036,0.7337974829491535
xy_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,xy_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9977843426883308,0.54884375,0.548175660913262,0.06417083617472857,0.22021857923497268
lab | KMeans | Postprocessed Img03.jpg-segment of 5,lab,KMeans,KMeans,1,1,0.9909452226032885,0.550429069933058,0.5476745112975084,0.25825099438413357,0.668836341733538
rgb | KMeans | Postprocessed Img03.jpg-segment of 5,rgb,KMeans,KMeans,1,1,0.9927749878503159,0.545541945591796,0.543384582646167,0.17730863916282313,0.6410904074455477
texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.9269692332474226,0.5649716820784065,0.5408958731091202,0.03796225041875599,0.5325416182561574
RGB_only | KMeans | Postprocessed Img08-segment of 5,RGB_only,KMeans,KMeans,1,1,0.751803528620687,0.7224119104964446,0.5400334917194024,0.3145098107704778,0.7582958491161617
lab | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.9880351013535392,0.5432363623415468,0.5396860490824674,0.3049459305578443,0.6610060815668293
