feature_set,algorithm,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
rgb,Mean Shift,18,9,0.3750431256739124,0.4740745631285207,0.3430263560376035,0.1541661838914442,0.6662926332938107,0.40087010313942434
xy_lab_texture_leung_malik,KMeans,4,3,0.403149920577182,0.43086490946915024,0.33688332464892073,0.13022012267458907,0.5535154070265725,0.4169406661146276
hsv_texture_leung_malik,KMeans,4,3,0.40157594450348966,0.436181211374837,0.3365214687883232,0.1132965549185275,0.5595093868820741,0.41803397576792733
rgb_texture_leung_malik,KMeans,4,3,0.4007021172546556,0.4323183129837278,0.33634716328408226,0.1229707780110976,0.5549794837348253,0.4174363376195242
xy_texture_leung_malik,KMeans,4,3,0.3994384819352336,0.43109420616210636,0.33223633385934415,0.10649354006904473,0.5577073932722578,0.4169242541646517
XY_only,KMeans,1,1,0.4395920097371793,0.4846717396190815,0.3154950222709068,0.0925814019305358,0.5372277462121212,0.3761755318097722
HSV_only,Mean Shift,4,1,0.38579133239500124,0.4340202226329436,0.3018799237658665,0.28732167209002624,0.6232614228219697,0.4504377090908812
xy,KMeans,10,9,0.35020698957487795,0.3976862747635038,0.29913339690966356,0.12932734641264712,0.694468935161284,0.36643228969027486
texture_leung_malik,KMeans,4,3,0.32525259391250877,0.45505546191486124,0.2887388380101543,0.11977987858034736,0.49568969987278977,0.3573176174834308
xy,Mean Shift,18,9,0.3551840482127682,0.3960313672641289,0.28521178516300694,0.11557107446018493,0.6488975143911669,0.34577443611771985
xy_texture_dinov2_dinov2_vits14_pca64_max518,KMeans,1,1,0.3552339454110762,0.3703690923244291,0.277714695938731,0.1628632753946722,0.6943866943866944,0.5287018969394277
XY_only,Mean Shift,4,1,0.30877168545489175,0.421306664449574,0.2429779657017842,0.12626162528738422,0.49337367818813127,0.2973908082925846
xy_texture_glcm,KMeans,3,3,0.42580729730149086,0.3080867898923031,0.21222655158085157,0.0479735071493462,0.7449206908480711,0.29147627852825714
texture_dinov2_dinov2_vits14_pca64_max518,KMeans,1,1,0.2897267776276293,0.3022320537243181,0.2078799089854709,0.1311119084649614,0.5773796801834185,0.3986886153098042
texture_glcm,KMeans,3,3,0.39146822986678514,0.28427250943879406,0.19798703018177757,0.04744429993182273,0.7625465093908496,0.30472536592739313
